Company Name,CUSIP,Sedol,Sector,Industry,Instrument Type,Country,Currency ,Exchange Name,Ticker
Apple Inc.,037833100,2046251,Electronic Technology,Telecommunications Equipment,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AAPL
NVIDIA Corporation,67066G104,2379504,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,NVDA
Microsoft Corporation,594918104,2588173,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MSFT
"Amazon.com, Inc.",023135106,2000019,Retail Trade,Internet Retail,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AMZN
Meta Platforms Inc Class A,30303M102,B7TL820,Technology Services,Internet Software/Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,META
"Tesla, Inc.",88160R101,B616C79,Consumer Durables,Motor Vehicles,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,TSLA
Alphabet Inc. Class A,02079K305,BYVY8G0,Technology Services,Internet Software/Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,GOOGL
Broadcom Inc.,11135F101,BDZ78H9,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AVGO
Eli Lilly and Company,532457108,2516152,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,LLY
Walmart Inc.,931142103,2936921,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NYSE,WMT
JPMorgan Chase & Co.,46625H100,2190385,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,JPM
Berkshire Hathaway Inc. Class B,084670702,2073390,Finance,Property/Casualty Insurance,Common stock,UNITED STATES,U.S. Dollar,NYSE,BRK.B
Visa Inc. Class A,92826C839,B2PZN04,Commercial Services,Miscellaneous Commercial Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,V
Mastercard Incorporated Class A,57636Q104,B121557,Commercial Services,Miscellaneous Commercial Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,MA
Oracle Corporation,68389X105,2661568,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NYSE,ORCL
Exxon Mobil Corporation,30231G102,2326618,Energy Minerals,Integrated Oil,Common stock,UNITED STATES,U.S. Dollar,NYSE,XOM
UnitedHealth Group Incorporated,91324P102,2917766,Health Services,Managed Health Care,Common stock,UNITED STATES,U.S. Dollar,NYSE,UNH
Costco Wholesale Corporation,22160K105,2701271,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,COST
"Netflix, Inc.",64110L106,2857817,Technology Services,Internet Software/Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,NFLX
Procter & Gamble Company,742718109,2704407,Consumer Non-Durables,Household/Personal Care,Common stock,UNITED STATES,U.S. Dollar,NYSE,PG
"Home Depot, Inc.",437076102,2434209,Retail Trade,Home Improvement Chains,Common stock,UNITED STATES,U.S. Dollar,NYSE,HD
Johnson & Johnson,478160104,2475833,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,JNJ
"AbbVie, Inc.",00287Y109,B92SR70,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,ABBV
Bank of America Corp,060505104,2295677,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,BAC
"Salesforce, Inc.",79466L302,2310525,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NYSE,CRM
"T-Mobile US, Inc.",872590104,B94Q9V0,Communications,Wireless Telecommunications,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,TMUS
Coca-Cola Company,191216100,2206657,Consumer Non-Durables,Beverages: Non-Alcoholic,Common stock,UNITED STATES,U.S. Dollar,NYSE,KO
Chevron Corporation,166764100,2838555,Energy Minerals,Integrated Oil,Common stock,UNITED STATES,U.S. Dollar,NYSE,CVX
Wells Fargo & Company,949746101,2649100,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,WFC
"Cisco Systems, Inc.",17275R102,2198163,Electronic Technology,Telecommunications Equipment,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CSCO
International Business Machines Corporation,459200101,2005973,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NYSE,IBM
Accenture Plc Class A,G1151C101,B4BNMY3,Technology Services,Information Technology Services,Common stock,IRELAND,U.S. Dollar,NYSE,ACN
Palantir Technologies Inc. Class A,69608A108,BN78DQ4,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PLTR
Philip Morris International Inc.,718172109,B2PKRQ3,Consumer Non-Durables,Tobacco,Common stock,UNITED STATES,U.S. Dollar,NYSE,PM
Abbott Laboratories,002824100,2002305,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,ABT
GE Aerospace,369604301,BL59CR9,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,GE
"Merck & Co., Inc.",58933Y105,2778844,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,MRK
Linde plc,G54950103,BNZHB81,Process Industries,Chemicals: Specialty,Common stock,UNITED KINGDOM,U.S. Dollar,NASDAQ,LIN
McDonald's Corporation,580135101,2550707,Consumer Services,Restaurants,Common stock,UNITED STATES,U.S. Dollar,NYSE,MCD
Morgan Stanley,617446448,2262314,Finance,Investment Managers,Common stock,UNITED STATES,U.S. Dollar,NYSE,MS
"Intuitive Surgical, Inc.",46120E602,2871301,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ISRG
American Express Company,025816109,2026082,Finance,Finance/Rental/Leasing,Common stock,UNITED STATES,U.S. Dollar,NYSE,AXP
Thermo Fisher Scientific Inc.,883556102,2886907,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,TMO
"PepsiCo, Inc.",713448108,2681511,Consumer Non-Durables,Food: Specialty/Candy,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PEP
"Goldman Sachs Group, Inc.",38141G104,2407966,Finance,Investment Banks/Brokers,Common stock,UNITED STATES,U.S. Dollar,NYSE,GS
Walt Disney Company,254687106,2270726,Consumer Services,Movies/Entertainment,Common stock,UNITED STATES,U.S. Dollar,NYSE,DIS
"ServiceNow, Inc.",81762P102,B80NXX8,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NYSE,NOW
Adobe Inc.,00724F101,2008154,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ADBE
QUALCOMM Incorporated,747525103,2714923,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,QCOM
AT&T Inc.,00206R102,2831811,Communications,Wireless Telecommunications,Common stock,UNITED STATES,U.S. Dollar,NYSE,T
Texas Instruments Incorporated,882508104,2885409,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,TXN
"Advanced Micro Devices, Inc.",007903107,2007849,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AMD
Verizon Communications Inc.,92343V104,2090571,Communications,Wireless Telecommunications,Common stock,UNITED STATES,U.S. Dollar,NYSE,VZ
"Uber Technologies, Inc.",90353T100,BK6N347,Transportation,Other Transportation,Common stock,UNITED STATES,U.S. Dollar,NYSE,UBER
Caterpillar Inc.,149123101,2180201,Producer Manufacturing,Trucks/Construction/Farm Machinery,Common stock,UNITED STATES,U.S. Dollar,NYSE,CAT
RTX Corporation,75513E101,BM5M5Y3,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,RTX
Booking Holdings Inc.,09857L108,BDRXDB4,Consumer Services,Other Consumer Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,BKNG
"S&P Global, Inc.",78409V104,BYV2325,Commercial Services,Financial Publishing/Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,SPGI
Intuit Inc.,461202103,2459020,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,INTU
Amgen Inc.,031162100,2023607,Health Technology,Biotechnology,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AMGN
Progressive Corporation,743315103,2705024,Finance,Multi-Line Insurance,Common stock,UNITED STATES,U.S. Dollar,NYSE,PGR
Boston Scientific Corporation,101137107,2113434,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,BSX
"BlackRock, Inc.",09290D101,BMZBBT7,Finance,Investment Managers,Common stock,UNITED STATES,U.S. Dollar,NYSE,BLK
Citigroup Inc.,172967424,2297907,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,C
Union Pacific Corporation,907818108,2914734,Transportation,Railroads,Common stock,UNITED STATES,U.S. Dollar,NYSE,UNP
Danaher Corporation,235851102,2250870,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,DHR
Charles Schwab Corp,808513105,2779397,Finance,Investment Banks/Brokers,Common stock,UNITED STATES,U.S. Dollar,NYSE,SCHW
Stryker Corporation,863667101,2853688,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,SYK
Pfizer Inc.,717081103,2684703,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,PFE
"NextEra Energy, Inc.",65339F101,2328915,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NYSE,NEE
"Applied Materials, Inc.",038222105,2046552,Producer Manufacturing,Industrial Machinery,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AMAT
AppLovin Corp. Class A,03831W108,BMV3LG4,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,APP
"Lowe's Companies, Inc.",548661107,2536763,Retail Trade,Home Improvement Chains,Common stock,UNITED STATES,U.S. Dollar,NYSE,LOW
TJX Companies Inc,872540109,2989301,Retail Trade,Apparel/Footwear Retail,Common stock,UNITED STATES,U.S. Dollar,NYSE,TJX
Honeywell International Inc.,438516106,2020459,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,HON
Comcast Corporation Class A,20030N101,2044545,Consumer Services,Cable/Satellite TV,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CMCSA
"Gilead Sciences, Inc.",375558103,2369174,Health Technology,Biotechnology,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,GILD
Boeing Company,097023105,2108601,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,BA
Deere & Company,244199105,2261203,Producer Manufacturing,Trucks/Construction/Farm Machinery,Common stock,UNITED STATES,U.S. Dollar,NYSE,DE
"Fiserv, Inc.",337738108,2342034,Finance,Regional Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,FI
"Palo Alto Networks, Inc.",697435105,B87ZMX0,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PANW
"Arista Networks, Inc.",040413205,BL9XPM3,Electronic Technology,Computer Peripherals,Common stock,UNITED STATES,U.S. Dollar,NYSE,ANET
Spotify Technology SA,L8681T102,BFZ1K46,Technology Services,Internet Software/Services,Common stock,LUXEMBOURG,U.S. Dollar,NYSE,SPOT
ConocoPhillips,20825C104,2685717,Energy Minerals,Oil & Gas Production,Common stock,UNITED STATES,U.S. Dollar,NYSE,COP
Starbucks Corporation,855244109,2842255,Consumer Services,Restaurants,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,SBUX
"Automatic Data Processing, Inc.",053015103,2065308,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ADP
Vertex Pharmaceuticals Incorporated,92532F100,2931034,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,VRTX
Eaton Corp. Plc,G29183103,B8KQN82,Producer Manufacturing,Electrical Products,Common stock,IRELAND,U.S. Dollar,NYSE,ETN
"Analog Devices, Inc.",032654105,2032067,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ADI
KKR & Co Inc,48251W104,BG1FRR1,Finance,Investment Managers,Common stock,UNITED STATES,U.S. Dollar,NYSE,KKR
Blackstone Inc.,09260D107,BKF2SL7,Finance,Investment Managers,Common stock,UNITED STATES,U.S. Dollar,NYSE,BX
"Micron Technology, Inc.",595112103,2588184,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MU
Lam Research Corporation,512807306,BSML4N7,Producer Manufacturing,Industrial Machinery,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,LRCX
"Marsh & McLennan Companies, Inc.",571748102,2567741,Finance,Insurance Brokers/Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,MMC
Bristol-Myers Squibb Company,110122108,2126335,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,BMY
Intel Corporation,458140100,2463247,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,INTC
Medtronic Plc,G5960L103,BTN1Y11,Health Technology,Medical Specialties,Common stock,IRELAND,U.S. Dollar,NYSE,MDT
"Prologis, Inc.",74340W103,B44WZD7,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NYSE,PLD
Chubb Limited,H1467J104,B3BQMF6,Finance,Property/Casualty Insurance,Common stock,SWITZERLAND,U.S. Dollar,NYSE,CB
"MercadoLibre, Inc.",58733R102,B23X1H3,Retail Trade,Internet Retail,Common stock,URUGUAY,U.S. Dollar,NASDAQ,MELI
KLA Corporation,482480100,2480138,Electronic Technology,Electronic Equipment/Instruments,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,KLAC
Lockheed Martin Corporation,539830109,2522096,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,LMT
"CrowdStrike Holdings, Inc. Class A",22788C105,BJJP138,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CRWD
GE Vernova Inc.,36828A101,BP6H4Y1,Producer Manufacturing,Electrical Products,Common stock,UNITED STATES,U.S. Dollar,NYSE,GEV
Constellation Energy Corporation,21037T109,BMH4FS1,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CEG
Welltower Inc.,95040Q104,BYVYHH4,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NYSE,WELL
Southern Company,842587107,2829601,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NYSE,SO
"Intercontinental Exchange, Inc.",45866F104,BFSSDS9,Finance,Investment Banks/Brokers,Common stock,UNITED STATES,U.S. Dollar,NYSE,ICE
"Marvell Technology, Inc.",573874104,BNKJSM5,Electronic Technology,Semiconductors,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MRVL
"Waste Management, Inc.",94106L109,2937667,Industrial Services,Environmental Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,WM
Moody's Corporation,615369105,2252058,Commercial Services,Financial Publishing/Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,MCO
"Altria Group, Inc.",02209S103,2692632,Consumer Non-Durables,Tobacco,Common stock,UNITED STATES,U.S. Dollar,NYSE,MO
"Equinix, Inc.",29444U700,BVLZX12,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,EQIX
"NIKE, Inc. Class B",654106103,2640147,Consumer Non-Durables,Apparel/Footwear,Common stock,UNITED STATES,U.S. Dollar,NYSE,NKE
"Elevance Health, Inc.",036752103,BSPHGL4,Health Services,Managed Health Care,Common stock,UNITED STATES,U.S. Dollar,NYSE,ELV
American Tower Corporation,03027X100,B7FBFL2,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NYSE,AMT
Parker-Hannifin Corporation,701094104,2671501,Electronic Technology,Electronic Equipment/Instruments,Common stock,UNITED STATES,U.S. Dollar,NYSE,PH
CME Group Inc. Class A,12572Q105,2965839,Finance,Investment Banks/Brokers,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CME
Apollo Global Management Inc,03769M106,BN44JF6,Finance,Investment Managers,Common stock,UNITED STATES,U.S. Dollar,NYSE,APO
Sherwin-Williams Company,824348106,2804211,Process Industries,Industrial Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,SHW
Duke Energy Corporation,26441C204,B7VD3F2,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NYSE,DUK
"Fortinet, Inc.",34959E109,B5B2106,Technology Services,Information Technology Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,FTNT
"United Parcel Service, Inc. Class B",911312106,2517382,Transportation,Air Freight/Couriers,Common stock,UNITED STATES,U.S. Dollar,NYSE,UPS
Aon Plc Class A,G0403H108,BLP1HW5,Finance,Insurance Brokers/Services,Common stock,IRELAND,U.S. Dollar,NYSE,AON
Amphenol Corporation Class A,032095101,2145084,Electronic Technology,Electronic Components,Common stock,UNITED STATES,U.S. Dollar,NYSE,APH
Cigna Group,125523100,BHJ0775,Health Services,Managed Health Care,Common stock,UNITED STATES,U.S. Dollar,NYSE,CI
Cintas Corporation,172908105,2197137,Consumer Services,Other Consumer Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CTAS
Arthur J. Gallagher & Co.,363576109,2359506,Finance,Insurance Brokers/Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,AJG
Trane Technologies plc,G8994E103,BK9ZQ96,Producer Manufacturing,Industrial Machinery,Common stock,IRELAND,U.S. Dollar,NYSE,TT
CVS Health Corporation,126650100,2577609,Retail Trade,Drugstore Chains,Common stock,UNITED STATES,U.S. Dollar,NYSE,CVS
3M Company,88579Y101,2595708,Producer Manufacturing,Industrial Conglomerates,Common stock,UNITED STATES,U.S. Dollar,NYSE,MMM
"Mondelez International, Inc. Class A",609207105,B8CKK03,Consumer Non-Durables,Food: Specialty/Candy,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MDLZ
HCA Healthcare Inc,40412C101,B4MGBG6,Health Services,Hospital/Nursing Management,Common stock,UNITED STATES,U.S. Dollar,NYSE,HCA
"DoorDash, Inc. Class A",25809K105,BN13P03,Transportation,Air Freight/Couriers,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,DASH
"Marriott International, Inc. Class A",571903202,2210614,Consumer Services,Hotels/Resorts/Cruiselines,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MAR
Capital One Financial Corp,14040H105,2654461,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,COF
Illinois Tool Works Inc.,452308109,2457552,Producer Manufacturing,Auto Parts: OEM,Common stock,UNITED STATES,U.S. Dollar,NYSE,ITW
Southern Copper Corporation,84265V105,2823777,Non-Energy Minerals,Other Metals/Minerals,Common stock,UNITED STATES,U.S. Dollar,NYSE,SCCO
MicroStrategy Incorporated Class A,594972408,2974329,Technology Services,Internet Software/Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,MSTR
"PayPal Holdings, Inc.",70450Y103,BYW36M8,Commercial Services,Miscellaneous Commercial Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PYPL
"Synopsys, Inc.",871607107,2867719,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,SNPS
"EOG Resources, Inc.",26875P101,2318024,Energy Minerals,Oil & Gas Production,Common stock,UNITED STATES,U.S. Dollar,NYSE,EOG
"PNC Financial Services Group, Inc.",693475105,2692665,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,PNC
"O'Reilly Automotive, Inc.",67103H107,B65LWX6,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ORLY
Ecolab Inc.,278865100,2304227,Process Industries,Chemicals: Specialty,Common stock,UNITED STATES,U.S. Dollar,NYSE,ECL
McKesson Corporation,58155Q103,2378534,Distribution Services,Medical Distributors,Common stock,UNITED STATES,U.S. Dollar,NYSE,MCK
"Regeneron Pharmaceuticals, Inc.",75886F107,2730190,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,REGN
"Cadence Design Systems, Inc.",127387108,2302232,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CDNS
TransDigm Group Incorporated,893641100,B11FJK3,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,TDG
U.S. Bancorp,902973304,2736035,Finance,Major Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,USB
Enterprise Products Partners L.P.,293792107,2285388,Industrial Services,Oil & Gas Pipelines,Common stock,UNITED STATES,U.S. Dollar,NYSE,EPD
"Motorola Solutions, Inc.",620076307,B5BKPQ4,Electronic Technology,Telecommunications Equipment,Common stock,UNITED STATES,U.S. Dollar,NYSE,MSI
"Republic Services, Inc.",760759100,2262530,Industrial Services,Environmental Services,Common stock,UNITED STATES,U.S. Dollar,NYSE,RSG
"Chipotle Mexican Grill, Inc.",169656105,B0X7DZ3,Consumer Services,Restaurants,Common stock,UNITED STATES,U.S. Dollar,NYSE,CMG
Colgate-Palmolive Company,194162103,2209106,Consumer Non-Durables,Household/Personal Care,Common stock,UNITED STATES,U.S. Dollar,NYSE,CL
"Williams Companies, Inc.",969457100,2967181,Utilities,Gas Distributors,Common stock,UNITED STATES,U.S. Dollar,NYSE,WMB
"Zoetis, Inc. Class A",98978V103,B95WG16,Health Technology,Pharmaceuticals: Major,Common stock,UNITED STATES,U.S. Dollar,NYSE,ZTS
Emerson Electric Co.,291011104,2313405,Electronic Technology,Electronic Equipment/Instruments,Common stock,UNITED STATES,U.S. Dollar,NYSE,EMR
"Air Products and Chemicals, Inc.",009158106,2011602,Process Industries,Chemicals: Specialty,Common stock,UNITED STATES,U.S. Dollar,NYSE,APD
CRH public limited company,G25508105,B01ZKD6,Non-Energy Minerals,Construction Materials,Common stock,UNITED STATES,U.S. Dollar,NYSE,CRH
Energy Transfer LP,29273V100,B0WHXD2,Industrial Services,Oil & Gas Pipelines,Common stock,UNITED STATES,U.S. Dollar,NYSE,ET
"Airbnb, Inc. Class A",009066101,BMGYYH4,Consumer Services,Other Consumer Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ABNB
General Dynamics Corporation,369550108,2365161,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,GD
Royal Caribbean Group,V7780T103,2754907,Consumer Services,Hotels/Resorts/Cruiselines,Common stock,UNITED STATES,U.S. Dollar,NYSE,RCL
"Becton, Dickinson and Company",075887109,2087807,Health Technology,Medical Specialties,Common stock,UNITED STATES,U.S. Dollar,NYSE,BDX
FedEx Corporation,31428X106,2142784,Transportation,Air Freight/Couriers,Common stock,UNITED STATES,U.S. Dollar,NYSE,FDX
Hilton Worldwide Holdings Inc.,43300A203,BYVMW06,Consumer Services,Hotels/Resorts/Cruiselines,Common stock,UNITED STATES,U.S. Dollar,NYSE,HLT
Northrop Grumman Corp.,666807102,2648806,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,NOC
CSX Corporation,126408103,2160753,Transportation,Railroads,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CSX
"Autodesk, Inc.",052769106,2065159,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ADSK
Bank of New York Mellon Corp,064058100,B1Z77F6,Finance,Investment Banks/Brokers,Common stock,UNITED STATES,U.S. Dollar,NYSE,BK
NXP Semiconductors NV,N6596X109,B505PN7,Electronic Technology,Semiconductors,Common stock,NETHERLANDS,U.S. Dollar,NASDAQ,NXPI
"Roper Technologies, Inc.",776696106,2749602,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,ROP
Truist Financial Corporation,89832Q109,BKP7287,Finance,Regional Banks,Common stock,UNITED STATES,U.S. Dollar,NYSE,TFC
"ONEOK, Inc.",682680103,2130109,Industrial Services,Oil & Gas Pipelines,Common stock,UNITED STATES,U.S. Dollar,NYSE,OKE
"Snowflake, Inc. Class A",833445109,BN134B7,Technology Services,Packaged Software,Common stock,UNITED STATES,U.S. Dollar,NYSE,SNOW
"Simon Property Group, Inc.",828806109,2812452,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NYSE,SPG
Schlumberger Limited,806857108,2779201,Industrial Services,Contract Drilling,Common stock,UNITED STATES,U.S. Dollar,NYSE,SLB
Kinder Morgan Inc Class P,49456B101,B3NQ4P8,Industrial Services,Oil & Gas Pipelines,Common stock,UNITED STATES,U.S. Dollar,NYSE,KMI
Target Corporation,87612E106,2259101,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NYSE,TGT
Johnson Controls International plc,G51502105,BY7QL61,Producer Manufacturing,Industrial Machinery,Common stock,IRELAND,U.S. Dollar,NYSE,JCI
Carrier Global Corp.,14448C104,BK4N0D7,Producer Manufacturing,Industrial Machinery,Common stock,UNITED STATES,U.S. Dollar,NYSE,CARR
Aflac Incorporated,001055102,2026361,Finance,Multi-Line Insurance,Common stock,UNITED STATES,U.S. Dollar,NYSE,AFL
"Digital Realty Trust, Inc.",253868103,B03GQS4,Finance,Real Estate Investment Trusts,Common stock,UNITED STATES,U.S. Dollar,NYSE,DLR
"AutoZone, Inc.",053332102,2065955,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NYSE,AZO
"MetLife, Inc.",59156R108,2573209,Finance,Multi-Line Insurance,Common stock,UNITED STATES,U.S. Dollar,NYSE,MET
Norfolk Southern Corporation,655844108,2641894,Transportation,Railroads,Common stock,UNITED STATES,U.S. Dollar,NYSE,NSC
"Copart, Inc.",217204106,2208073,Retail Trade,Specialty Stores,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,CPRT
Howmet Aerospace Inc.,443201108,BKLJ8V2,Electronic Technology,Aerospace & Defense,Common stock,UNITED STATES,U.S. Dollar,NYSE,HWM
"Workday, Inc. Class A",98138H101,B8K6ZD1,Technology Services,Information Technology Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,WDAY
"Freeport-McMoRan, Inc.",35671D857,2352118,Non-Energy Minerals,Other Metals/Minerals,Common stock,UNITED STATES,U.S. Dollar,NYSE,FCX
PACCAR Inc,693718108,2665861,Producer Manufacturing,Trucks/Construction/Farm Machinery,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PCAR
"American Electric Power Company, Inc.",025537101,2026242,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,AEP
Vistra Corp.,92840M102,BZ8VJQ8,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NYSE,VST
MPLX LP,55336V100,B847R56,Industrial Services,Oil & Gas Pipelines,Common stock,UNITED STATES,U.S. Dollar,NYSE,MPLX
Newmont Corporation,651639106,2636607,Non-Energy Minerals,Precious Metals,Common stock,UNITED STATES,U.S. Dollar,NYSE,NEM
"Travelers Companies, Inc.",89417E109,2769503,Finance,Property/Casualty Insurance,Common stock,UNITED STATES,U.S. Dollar,NYSE,TRV
Sempra,816851109,2138158,Utilities,Electric Utilities,Common stock,UNITED STATES,U.S. Dollar,NYSE,SRE
Phillips 66,718546104,B78C4Y8,Energy Minerals,Oil Refining/Marketing,Common stock,UNITED STATES,U.S. Dollar,NYSE,PSX
"Paychex, Inc.",704326107,2674458,Technology Services,Data Processing Services,Common stock,UNITED STATES,U.S. Dollar,NASDAQ,PAYX
